batiment_groupe_id,attribut test 
24053000AA0194_e137f562db6bce9,1
24053000AA0195_7c1690ef4063c66,2
24098000AV0083_7da453b321e193c,3
24098000AV0089_166c4c9b89ee135,4
24098000AV0093_6234c1e75c997f6,5
24098000BH0057_4a1285e208d4144,6
24098000BH0058_86d9ac2bea3e87c,7
24098000BH0059_3fe5a53bfb8a8ab,8
24098000BH0060_058ba436f22c5ff,9
24098000BH0061_dfa042f6f79d20b,10
24098000BH0062_d734b597dad39e4,11
24098000BH0073_1f1c06a5b8c46ec,12
24098000BH0074_a608f177d70ed56,13
24098000BH0075_4092ec07e2fed0c,14
24098000BH0084_9d4ad2ba074b724,15
24312000AA0001_b8e85f67c1d4aaf,16
24322000AB0004_25e46a12dc7d7f5,17
24322000AB0005_26018b9daaea42c,18
24322000AB0014_a0b57f4240f25b1,19
24322000AB0016_4180e1fec4f0d52,20
24322000AB0017_ebefbf7da2f807f,21
24322000AB0018_d0ce3565b481079,22
24322000AB0019_918ef4aa08de979,23
24322000AB0020_a73de0ec19e5998,24
24322000AB0021_fd08a09378cbfe6,25
24322000AB0024_c2caf3c7947edfe,26
24322000AB0025_274f3054c65f680,27
24322000AB0026_78cfd819a273204,28
24322000AB0027_158684089b86a81,29
24322000AB0028_e4e0689bd11190d,30
24322000AB0030_c1730b630750157,31
24322000AB0032_6d5aa6ac35cb90a,32
24322000AB0033_77dc484d9d065a4,33
24322000AB0038_d2889e109594d37,34
24322000AB0039_55573236e9f38d7,35
24322000AB0040_077e63ac1571a22,36
24322000AB0041_9cd62a42d8af79d,37
24322000AB0042_cb4f6dfa2893317,38
24322000AB0043_a245e381353f6d9,39
24322000AB0044_45a771eec826f24,40
24322000AB0045_ae7cf6f7234f893,41
24322000AB0046_b2dae42ae45e375,42
24322000AB0048_0c3135ee2c86bc4,43
24322000AB0049_4b11fa87f9b6a08,44
24322000AB0050_f9c1a35a9c10998,45
24322000AB0051_a4d346dd854a4bd,46
24322000AB0055_0a074a843171b21,47
24322000AB0056_ce9e6e55c863572,48
24322000AB0057_1e8d109e7b7eed4,49
24322000AB0058_c39440fbcc9a77c,50
24322000AB0059_fa6848c8d2d7d83,51
24322000AB0060_403167c79ccecd9,52
24322000AB0061_c5b8e3c3c1c553a,53
24322000AB0062_b8688dfd2415551,54
24322000AB0063_c67188fd4a10edf,55
24322000AB0065_24041e6b594320f,56
24322000AB0067_2ed4793dba6ae8e,57
24322000AB0071_579fa40df21f742,58
24322000AB0072_913f01008faa275,59
24322000AB0073_ecc0ae7698cd830,60
24322000AB0074_77c975611ed5683,61
24322000AB0075_a6cb823529d64f1,62
24322000AB0076_cd05e21bc96a18d,63
24322000AB0079_920317ef7722a89,64
24322000AB0083_62bfd4abf78e1ee,65
24322000AB0086_dd3b8adcf410089,66
24322000AB0089_1dd91cf45a36954,67
24322000AB0092_ec68241b62cd5da,68
24322000AB0094_ab9cec52d8bf383,69
24322000AB0095_bb09fe0355fee42,70
24322000AB0096_72eadeb6a7b7dab,71
24322000AB0100_b291033b7f1bdef,72
24322000AB0101_ee579a92313db53,73
24322000AB0102_0133c2abb4d4738,74
24322000AB0103_257cdf7622802ea,75
24322000AB0104_6ed3bf90e1b341a,76
24322000AB0105_d03f61d9cabe01f,77
24322000AB0107_e1876731b820348,78
24322000AB0108_8dafb895fe18e8d,79
24322000AB0114_4ea36be892a45c7,80
24322000AB0116_59f01f433d09aa2,81
24322000AB0122_5ba756ca4053ab9,82
24322000AB0123_7fb9e613ccb4c38,83
24322000AB0131_5f3d169ef481cc9,84
24322000AB0150_3fc82bc6e464f1d,85
24322000AB0151_09bc6fb646aab5e,86
24322000AB0152_2654dbcd0abefeb,87
24322000AB0153_36719c20fb3567e,88
24322000AB0155_2c503fd3b4a6e31,89
24322000AB0156_b0efcda05c12d06,90
24322000AB0157_14ebb0bb2facbab,91
24322000AB0164_fbce28214ca9abf,92
24322000AB0172_0f62ff2e9cdfe57,93
24322000AB0178_6e4edb8b7e45294,94
24322000AB0178_eda151fa7aa5f6f,95
24322000AB0178_fdfd593c85e1bca,96
24322000AB0185_404d559f422b329,97
24322000AB0187_9aa2b859ffbe6c3,98
24322000AB0195_e80ad30742c5281,99
24322000AB0196_71c10d321688cac,100
24322000AB0197_cd3e85901e5cc75,101
24322000AB0198_cf607897668214e,102
24322000AB0199_71a75e3e3a28f5b,103
24322000AB0201_e8a8ed812a36f47,104
24322000AB0204_23e2f4331cf8c6c,105
24322000AB0205_e9c8fb91f99933c,106
24322000AB0221_0bf02a0075c49b5,107
24322000AB0222_59d13b7b88c0005,108
24322000AB0223_bb2f49365a5e16a,109
24322000AB0231_0a561c61b37a131,110
24322000AB0232_de63910f4a69e6e,111
24322000AC0008_a22e74a5607daff,112
24322000AC0034_3bedbbabce4ddca,113
24322000AC0037_977a47acc2e9c05,114
24322000AC0048_b7a7ed4dcfbfafb,115
24322000AD0001_0d9f5c5a5807e4d,116
24322000AD0002_ac79d4fa7dd96a3,117
24322000AD0003_e3d1881b86dae87,118
24322000AD0006_8df0c24cd324035,119
24322000AD0007_ad78040d9fb43d6,120
24322000AD0008_76aebd8880546b5,121
24322000AD0011_c48c4443246c60e,122
24322000AD0012_ea066eb63ab12a9,123
24322000AD0015_686e0ff5afed102,124
24322000AD0016_6e3d808f4eb80b7,125
24322000AD0017_beab5da5e15c2ad,126
24322000AD0018_c1248925ef260c6,127
24322000AD0021_fb00d647c83b5d9,128
24322000AD0025_34d8acec195d4ca,129
24322000AD0026_9a0ad0c8a949d7c,130
24322000AD0027_2f8abd3350139d3,131
24322000AD0028_a9ba7a2e5c4b937,132
24322000AD0031_b4de9196cf459b7,133
24322000AD0033_c136f0e2ca30e5c,134
24322000AD0034_9f3a8ec970404c1,135
24322000AD0035_c3a82fed5029d04,136
24322000AD0037_9e4376f7c25ffc3,137
24322000AD0039_e9587acd4f2c63c,138
24322000AD0040_af06e4749a86d4d,139
24322000AD0041_6cbc3a12014c8c5,140
24322000AD0047_324920ffb3d421c,141
24322000AD0062_d1229d75e060c3a,142
24322000AD0064_0d2b7e64e5b768f,143
24322000AD0065_09af14625a8912a,144
24322000AD0067_7ab95f5d475b0a3,145
24322000AD0068_10f70d6c782e9ff,146
24322000AD0069_416ed83906b665d,147
24322000AD0071_8ea0712f2eeeb3a,148
24322000AD0072_bcb9b31142744c7,149
24322000AD0073_74ad96d01cfbb50,150
24322000AD0074_e8e374c37c9a068,151
24322000AD0075_bd297f9cde1b3c3,152
24322000AD0076_fbe37b6a594f4fa,153
24322000AD0078_82ce1e03e16b5fa,154
24322000AD0079_ea1898a01d08f94,155
24322000AD0080_0c191a0917039cc,156
24322000AD0082_258a2c1e40ee67e,157
24322000AD0083_d6b0c7bd567d029,158
24322000AD0085_3881c5ea144fe15,159
24322000AD0086_70781688df55a40,160
24322000AD0087_b86151dcfd9e4b6,161
24322000AD0088_5a354be5b342f16,162
24322000AD0093_34cf9d1f5cd9b5c,163
24322000AD0094_a310c6b8abf5633,164
24322000AD0096_6b617be5384b7c5,165
24322000AD0097_9cb3ddf0f73cd53,166
24322000AD0098_55093079bcab64f,167
24322000AD0100_6e7f3f67d0f7097,168
24322000AD0101_5dc4085f228c129,169
24322000AD0102_ecc18a47d477de3,170
24322000AD0103_0c0824527ec4e35,171
24322000AD0104_ec3fb09f871cec0,172
24322000AD0105_ea7db9cf4e9f744,173
24322000AD0106_6c380654a60e137,174
24322000AD0107_08dc2199b9752ee,175
24322000AD0108_b075707c4706e77,176
24322000AD0114_3d2f90c70668000,177
24322000AD0115_65450932e315593,178
24322000AD0116_c03fe686068e234,179
24322000AD0117_dc1020322644625,180
24322000AD0118_4cb2603b456ba55,181
24322000AD0120_ee0519a3a531221,182
24322000AD0123_227f4068d7fb63c,183
24322000AD0124_e8874cb8d3e5a19,184
24322000AD0125_d2733ecdb1c2846,185
24322000AD0127_1b14d76b67ad015,186
24322000AD0128_771882270d75b53,187
24322000AD0129_bec0ce03b62a56f,188
24322000AD0130_59e4e19294b7f54,189
24322000AD0135_212a022eb4aaf73,190
24322000AD0141_fe92d60422e5b03,191
24322000AD0142_fa752479f71a444,192
24322000AD0143_9b8b0e73d0c662a,193
24322000AD0144_367b2ee64b2a570,194
24322000AD0145_4b03bc42c9e42bf,195
24322000AD0146_1ef0d68b17346db,196
24322000AD0147_d621ab73d6b433f,197
24322000AD0150_0b2013fa6cc4b3d,198
24322000AD0151_0eb061da4962593,199
24322000AD0152_ce0acbe6204965a,200
24322000AD0153_3214b040a9e0c7f,201
24322000AD0154_b184c68fe7dde88,202
24322000AD0162_227c1a653562fb2,203
24322000AD0163_4a5b8e53924d95f,204
24322000AD0164_4edff00a5896adf,205
24322000AD0165_472e0f1c5a5508f,206
24322000AD0170_02a9e152bf92408,207
24322000AD0171_a373936bfc23dd0,208
24322000AD0172_da9549e905258d1,209
24322000AD0173_663ef62593e9cbe,210
24322000AD0178_4c739289dfb3d4a,211
24322000AD0179_68d4de5ce83c1a1,212
24322000AD0182_94ab5876df26aa4,213
24322000AD0183_1f71913e22e2315,214
24322000AD0187_bd13da50983487e,215
24322000AD0188_6f38a9467d5f8f2,216
24322000AD0189_940c475a8ba990b,217
24322000AD0190_3fb8cf18265f531,218
24322000AD0194_62bead7dd24c2f8,219
24322000AD0196_bc9cd96fe341247,220
24322000AD0197_f7d2c268c5c1790,221
24322000AD0198_bed6189c5f024e5,222
24322000AD0199_cc6a5ea8ba466f1,223
24322000AD0200_801dbecec79039a,224
24322000AD0202_98d119af221d295,225
24322000AD0209_e749e6584e856d0,226
24322000AD0214_b367a49f20f0101,227
24322000AD0217_60b0e0f576e0a32,228
24322000AD0219_657b49694a9ebc6,229
24322000AD0221_38ce729c74e196b,230
